time;user;label;NewHiresByEthnicity.Ethnicity;NewHiresByEthnicity.NewHires;Region.Region;Ethnicity.Ethnicity;NewHiresByRegion.Region;NewHiresByRegion.NewHires;NewHiresAndNewHiresSamePeriodLastYear.Month;NewHiresAndNewHiresSamePeriodLastYear.NewHires;NewHiresAndNewHiresSamePeriodLastYear.NewHiresSPLY;NewHiresByMonthAndFPDesc.Month;NewHiresByMonthAndFPDesc.FPDesc;NewHiresByMonthAndFPDesc.NewHires;Year.Year
1653797971684;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Region (clusteredBarChart) - Region: South selected;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.19100185528756958;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,1,0,0,0;0.19100185528756958;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.19100185528756958;0.19100185528756958;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.05408163265306123;0,0,0,0,0,0,0
1653797976711;5d242f41-c7df-43ab-8734-3e3b3986cc60;Region (slicer) - Region: South selected;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.05408163265306123;0,0,0,0,0,1,0;0,1,0,0,0,0,0;0,1,0,1,0,1,0,1,0,1,1,0,0,1;0.05408163265306123;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.05408163265306123;0.05408163265306123;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.05408163265306123;0,0,0,0,0,0,0
1653797978560;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Region (clusteredBarChart) - Region: South, Region: South selected;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.05408163265306123;0,0,0,0,0,1,0;0,1,0,0,0,0,0;0,1,0,1,0,1,0,1,0,1,1,0,0,1;0.05408163265306123;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.05408163265306123;0.05408163265306123;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.05408163265306123;0,0,0,0,0,0,0
1653797980172;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Oct selected;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.05408163265306123;0,0,0,0,0,1,0;0,1,0,0,0,0,0;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0.05408163265306123;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;0.05408163265306123;0.05408163265306123;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,0,0,0;0.007676252319109462;0,0,0,0,0,0,0
1653797985937;5d242f41-c7df-43ab-8734-3e3b3986cc60;Ethnicity (slicer) - deselected;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.05408163265306123;0,0,0,0,0,1,0;0,0,0,0,0,0,0;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0.05408163265306123;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;0.05408163265306123;0.05408163265306123;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,0,0,0;0.02112708719851577;0,0,0,0,0,0,0
1653797987441;5d242f41-c7df-43ab-8734-3e3b3986cc60;Region (slicer) - deselected;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.16472634508348794;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0.16472634508348794;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;1;1;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,0,0,0;0.12527829313543598;0,0,0,0,0,0,0
1653797989390;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Oct selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;1;1;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,0,0,0;0.12527829313543598;0,0,0,0,0,0,0
1653797990924;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - deselected;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1;0,0,0,0,0,0,0
1653797996069;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Oct selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;1;1;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,0,0,0;0.12527829313543598;0,0,0,0,0,0,0
1653797997328;5d242f41-c7df-43ab-8734-3e3b3986cc60;Ethnicity (slicer) - Ethnicity: Group B selected;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.19100185528756958;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.19100185528756958;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;0.19100185528756958;0.19100185528756958;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,0,0,0;0.02588126159554731;0,0,0,0,0,0,0
1653797998178;5d242f41-c7df-43ab-8734-3e3b3986cc60;Region (slicer) - Region: South selected;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.05408163265306123;0,0,0,0,0,1,0;0,1,0,0,0,0,0;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0.05408163265306123;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;0.05408163265306123;0.05408163265306123;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,0,0,0;0.007676252319109462;0,0,0,0,0,0,0
1653798001707;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Ethnicity (clusteredColumnChart) - Ethnicity: Group B selected;0,1,1,0,0,1,0,1,0,1,0,1,0,1;0.05408163265306123;0,0,0,0,0,1,0;0,1,0,0,0,0,0;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0.05408163265306123;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.05408163265306123;0.05408163265306123;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.05408163265306123;0,0,0,0,0,0,0
1653798005367;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Region (clusteredBarChart) - Region: South, Region: South selected;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.05408163265306123;0,0,0,0,0,1,0;0,1,0,0,0,0,0;0,1,0,1,0,1,0,1,0,1,1,0,0,1;0.05408163265306123;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.05408163265306123;0.05408163265306123;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.05408163265306123;0,0,0,0,0,0,0
1653798009864;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Month and FPDesc (lineChart) - Month: Oct, FPDesc: Part-Time selected;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.05408163265306123;0,0,0,0,0,1,0;0,1,0,0,0,0,0;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0.05408163265306123;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.05408163265306123;0.05408163265306123;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;0,0,1,0;0.05408163265306123;0,0,0,0,0,0,0
1653798012322;5d242f41-c7df-43ab-8734-3e3b3986cc60;Ethnicity (slicer) - deselected;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.05408163265306123;0,0,0,0,0,1,0;0,0,0,0,0,0,0;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0.05408163265306123;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.05408163265306123;0.05408163265306123;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;0,0,1,0;0.16472634508348794;0,0,0,0,0,0,0
1653798016173;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires by Ethnicity (clusteredColumnChart) - Ethnicity: Group C selected;0,0,0,0,1,0,0,0,0,0,0,0,0,0;0.16472634508348794;0,0,0,0,0,1,0;0,0,0,0,0,0,0;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0.16472634508348794;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.16472634508348794;0.16472634508348794;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.006377551020408163;0,0,0,0,0,0,0
1653798016774;5d242f41-c7df-43ab-8734-3e3b3986cc60;Region (slicer) - deselected;0,0,0,0,1,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0.16472634508348794;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.16472634508348794;0.16472634508348794;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;0.04635899814471243;0,0,0,0,0,0,0
1653798017990;5d242f41-c7df-43ab-8734-3e3b3986cc60;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Oct selected;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;1;1;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,0,0,0;0.12527829313543598;0,0,0,0,0,0,0
1653798020110;5d242f41-c7df-43ab-8734-3e3b3986cc60;Ethnicity (slicer) - Ethnicity: Group B selected;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.19100185528756958;0,0,0,0,0,0,0;0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0.19100185528756958;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;0.19100185528756958;0.19100185528756958;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,0,0,0;0.02588126159554731;0,0,0,0,0,0,0
1653798021005;5d242f41-c7df-43ab-8734-3e3b3986cc60;Region (slicer) - Region: South selected;0,1,0,0,0,1,0,1,0,1,0,1,0,1;0.05408163265306123;0,0,0,0,0,1,0;0,1,0,0,0,0,0;0,1,0,1,0,1,0,1,0,1,0,0,0,1;0.05408163265306123;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;0.05408163265306123;0.05408163265306123;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,0,0,0;0.007676252319109462;0,0,0,0,0,0,0
