timestamp;user;age;gender;dashboardExperience;powerBIExperience;confidence;satisfaction;questionId;taskId;correctAnswer;mentalEffort;selectedAnswer;endtime;triggeredAction;selectedValues;filteredValues;NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>;NewHiresAndNewHiresSamePeriodLastYear(SPLY).NewHires<numerical>;NewHiresAndNewHiresSamePeriodLastYear(SPLY).NewHiresSPLY<numerical>;NewHiresByMonth(Full-Time/Part-Time).Month<categorical>;NewHiresByMonth(Full-Time/Part-Time).FPDesc<categorical>;NewHiresByMonth(Full-Time/Part-Time).NewHires<numerical>;NewHiresByEthnicity.Ethnicity<categorical>;NewHiresByEthnicity.NewHires<numerical>;NewHiresByRegion.Region<categorical>;NewHiresByRegion.NewHires<numerical>;Ethnicity.Ethnicity<categorical>;Region.Region<categorical>;Year.Year<categorical>
1656742347964;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;4;2;Jul 2014;2;Jul 2014;1656742374845;Year (slicer) - Year: 2012 selected;Region.Region<categorical>, Year.Year<categorical>;NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;31,34,65,79,86,110,69,138,141,234,290,77;13,20,52,53,45,58,34,57,52,53,85,34;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;11,20,11,23,18,47,27,52,10,76,20,90,14,55,25,113,14,127,32,202,24,266,9,68;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1055,216,34,25,18,3,3;0,1,0,1,0,0,0,1,0,1,0,1,0,1;1354;0,0,0,0,0,0,0;0,0,1,0,0,0,0;0,0,1,0,0,0,0
1656742355074;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;4;2;Jul 2014;2;Jul 2014;1656742374845;Year (slicer) - Year: 2014 selected;Region.Region<categorical>, Year.Year<categorical>;NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;177,237,167,268,292,346,409,365,370,295,204,40;78,164,228,216,230,234,197,300,246,416,267,108;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;16,161,23,214,21,146,19,249,19,273,20,326,18,391,19,346,10,360,9,286,6,198,1,39;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2277,595,152,63,61,18,4;0,1,0,1,0,0,0,1,0,1,0,1,0,1;3170;0,0,0,0,0,0,0;0,0,1,0,0,0,0;0,0,0,0,1,0,0
1656742378341;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;3;2;2013;2;2013;1656742408280;Root;Year.Year<categorical>;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;0,0,0,0,0,0,0,0,0,0,0,0,0,0;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656742385457;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;3;2;2013;2;2013;1656742408280;Ethnicity (slicer) - Ethnicity: Group F selected;Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,7,1,17,1,19,2,21,5,34,3,23,3,35,5,72,4,55,2,50,4,46,2,17;0,0,0,0,0,0,0,0,0,0,0,0,0,0;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,1,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656742393996;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;3;2;2013;2;2013;1656742408280;Year (slicer) - Year: 2012 selected;Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;9,18,20,23,39,26,38,77,59,52,50,19;10,11,19,7,8,12,8,20,37,33,42,12;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,8,2,9,5,14,1,6,8,2,10,3,5,3,17,2,35,1,32,3,39,12;0,1,0,1,0,1,0,0,0,1,0,1,0,1;430;0,0,0,0,0,0,0,0,0,0,0,0,0,0;63,31,88,41,51,75,81;0,0,0,0,0,1,0;0,0,0,0,0,0,0;0,0,1,0,0,0,0
1656742401845;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;3;2;2013;2;2013;1656742408280;Year (slicer) - Year: 2013 selected;Ethnicity.Ethnicity<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;9,18,20,23,39,26,38,77,59,52,50,19;10,11,19,7,8,12,8,20,37,33,42,12;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,7,1,17,1,19,2,21,5,34,3,23,3,35,5,72,4,55,2,50,4,46,2,17;0,1,0,1,0,1,0,0,0,1,0,1,0,1;430;0,0,0,0,0,0,0,0,0,0,0,0,0,0;63,31,88,41,51,75,81;0,0,0,0,0,1,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656742411311;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;5;3;22;3;83;1656742466531;Root;Year.Year<categorical>;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;0,0,0,0,0,0,0,0,0,0,0,0,0,0;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656742421418;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;5;3;22;3;83;1656742466531;Year (slicer) - Year: 2012 selected;Year.Year<categorical>;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;62,163,58,210,93,352,93,327,87,444,87,478,58,419,106,802,98,899,107,931,96,1019,42,376;0,0,0,0,0,0,0,0,0,0,0,0,0,0;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,1,0,0,0,0
1656742426714;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;5;3;22;3;83;1656742466531;Region (slicer) - Region: East selected;Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;77,103,212,260,298,332,258,395,383,375,408,157;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;15,17,20,10,15,4,15,12,22,17,21,28,10,29,21,26,23,30,26,51,17,49,8,40;0,0,0,0,0,0,0,0,0,0,0,1,0,1;374,83,31,23,15;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1297,1092,1354,526,1203,1190,745;0,0,0,0,0,0,0;0,0,0,1,0,0,0;0,0,1,0,0,0,0
1656742430071;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;5;3;22;3;83;1656742466531;Ethnicity (slicer) - Ethnicity: Group B selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;4,4,3,2,1,8,9,6,11,13,14,8;1,1,4,1,3,5,2,4,7;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,2,4,2,1,2,1,1,7,1,8,3,3,3,8,13,14,8;0,1,0,0,0,1,0,1,0,1,0,1,0,1;83;0,1,0,1,0,1,0,0,0,1,0,1,0,1;83;0,1,0,0,0,0,0;0,0,0,1,0,0,0;0,0,1,0,0,0,0
1656742469429;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;6;3;768;3;0;1656742511314;Root;Year.Year<categorical>;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;0,0,0,0,0,0,0,0,0,0,0,0,0,0;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,1,0,0,0
1656742476642;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;6;3;768;3;0;1656742511314;Region (slicer) - Region: South selected;Region.Region<categorical>, Year.Year<categorical>;NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;56,75,109,141,172,196,222,231,176,324,234,89;35,58,77,55,83,88,76,153,225,142,132,66;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;5,51,5,70,5,104,9,132,6,166,2,194,8,214,8,223,5,171,11,313,8,226,3,86;0,0,0,0,0,0,0,0,0,0,0,0,0,0;1257,565,81,75,36,8,3;0,1,0,1,0,1,0,1,0,1,0,0,0,1;2025;0,0,0,0,0,0,0;0,0,0,0,0,1,0;0,0,0,1,0,0,0
1656742480173;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;6;3;768;3;0;1656742511314;Ethnicity (slicer) - Ethnicity: Group B selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;17,17,29,39,39,54,57,44,49,113,83,24;4,12,14,7,20,19,17,33,61,47,41,22;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,16,17,2,27,2,37,1,38,54,1,56,44,1,48,3,110,2,81,1,23;0,1,0,0,0,1,0,1,0,1,0,1,0,1;565;0,1,0,1,0,1,0,1,0,1,0,0,0,1;565;0,1,0,0,0,0,0;0,0,0,0,0,1,0;0,0,0,1,0,0,0
1656742480603;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;6;3;768;3;0;1656742511314;Ethnicity (slicer) - Ethnicity: Group C selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;17,17,29,39,39,54,57,44,49,113,83,24;4,12,14,7,20,19,17,33,61,47,41,22;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,4,3,2,3,1,6,5,11,7,7,13,11,6;0,1,0,0,0,1,0,1,0,1,0,1,0,1;565;0,1,0,1,0,1,0,1,0,1,0,0,0,1;565;0,0,1,0,0,0,0;0,0,0,0,0,1,0;0,0,0,1,0,0,0
1656742481541;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;6;3;768;3;0;1656742511314;Ethnicity (slicer) - Ethnicity: Group D selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,1,3,1,4,5,6,6,8,1;1,2,3,1,4,2,1,4,1;0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,1,3,1,4,5,1,5,2,4,8,1;0,1,0,1,0,1,0,1,0,0,0,1,0,1;36;0,1,0,1,0,1,0,1,0,1,0,0,0,1;36;0,0,0,1,0,0,0;0,0,0,0,0,1,0;0,0,0,1,0,0,0
1656742488228;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;6;3;768;3;0;1656742511314;Ethnicity (slicer) - Ethnicity: Group A selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;33,48,73,89,121,128,143,156,110,180,119,57;29,43,49,45,57,61,53,99,142,79,73,40;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;4,29,5,43,3,70,5,84,4,117,1,127,7,136,7,149,3,107,6,174,5,114,2,55;0,0,0,1,0,1,0,1,0,1,0,1,0,1;1257;0,1,0,1,0,1,0,1,0,1,0,0,0,1;1257;1,0,0,0,0,0,0;0,0,0,0,0,1,0;0,0,0,1,0,0,0
1656742493986;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;6;3;768;3;0;1656742511314;Ethnicity (slicer) - Ethnicity: Group B selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;17,17,29,39,39,54,57,44,49,113,83,24;4,12,14,7,20,19,17,33,61,47,41,22;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,16,17,2,27,2,37,1,38,54,1,56,44,1,48,3,110,2,81,1,23;0,1,0,0,0,1,0,1,0,1,0,1,0,1;565;0,1,0,1,0,1,0,1,0,1,0,0,0,1;565;0,1,0,0,0,0,0;0,0,0,0,0,1,0;0,0,0,1,0,0,0
1656742497252;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;6;3;768;3;0;1656742511314;Ethnicity (slicer) - Ethnicity: Group C selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;2,4,3,5,7,5,11,7,7,13,11,6;1,1,6,2,2,2,4,9,8,8,9,3;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,4,3,2,3,1,6,5,11,7,7,13,11,6;0,1,0,1,0,0,0,1,0,1,0,1,0,1;81;0,1,0,1,0,1,0,1,0,1,0,0,0,1;81;0,0,1,0,0,0,0;0,0,0,0,0,1,0;0,0,0,1,0,0,0
1656742498311;37bca741-eec1-40eb-942f-33a5ff1c5319;36;f;0;-1;-1;5;6;3;768;3;0;1656742511314;Ethnicity (slicer) - Ethnicity: Group D selected;Ethnicity.Ethnicity<categorical>, Region.Region<categorical>, Year.Year<categorical>;NewHiresAndNewHiresSamePeriodLastYear(SPLY).Month<categorical>, NewHiresByMonth(Full-Time/Part-Time).Month<categorical>, NewHiresByEthnicity.Ethnicity<categorical>, NewHiresByRegion.Region<categorical>;0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,1,3,1,4,5,6,6,8,1;1,2,3,1,4,2,1,4,1;0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;1,1,3,1,4,5,1,5,2,4,8,1;0,1,0,1,0,1,0,1,0,0,0,1,0,1;36;0,1,0,1,0,1,0,1,0,1,0,0,0,1;36;0,0,0,1,0,0,0;0,0,0,0,0,1,0;0,0,0,1,0,0,0
