timestamp;user;triggeredAction;selectedValues;filteredValues;Ethnicity.Ethnicity[categorical];Region.Region[categorical];NewHiresAndNewHiresSamePeriodLastYear.NewHires[numerical];NewHiresAndNewHiresSamePeriodLastYear.Month[categorical];NewHiresAndNewHiresSamePeriodLastYear.NewHiresSPLY[numerical];NewHiresByMonth(Full-Time/Part-Time).Month[categorical];NewHiresByMonth(Full-Time/Part-Time).FPDesc[categorical];NewHiresByMonth(Full-Time/Part-Time).NewHires[numerical];NewHiresByEthnicity.NewHires[numerical];NewHiresByEthnicity.Ethnicity[categorical];NewHiresByRegion.NewHires[numerical];NewHiresByRegion.Region[categorical];Year.Year[categorical]
1654418107479;80100679-d99f-4cea-96e4-a957ac6be43f;Ethnicity (slicer) - deselected;Region.Regioncategorical, NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByRegion.Regioncategorical;0,0,0,0,0,0,0;0,0,1,0,0,0,0;78,164,228,216,230,234,197,300,246,416,267,108;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;31,34,65,79,86,110,69,138,141,234,290,77;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1;0,0,0,0;139,1747;2003,503,88,45,28,11,6;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2684;0,1,0,1,0,0,0,1,0,1,0,1,0,1;0,0,0,1,0,0,0
1654418108692;80100679-d99f-4cea-96e4-a957ac6be43f;Region (slicer) - deselected;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, Year.Yearcategorical;;0,0,0,0,0,0,0;0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;3,50,2,68,8,149,9,180,7,196,12,226,8,241,12,245,6,214,13,398,6,263,8,92;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,1,0,0,0
1654418109939;80100679-d99f-4cea-96e4-a957ac6be43f;New Hires by Ethnicity (clusteredBarChart) - Ethnicity: Group B selected;NewHiresByEthnicity.Ethnicitycategorical, Year.Yearcategorical;;0,0,0,0,0,0,0;0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;3,50,2,68,8,149,9,180,7,196,12,226,8,241,12,245,6,214,13,398,6,263,8,92;9571,2416,663,430,220,63,19;0,0,1,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,1,0,0,0
1654418111333;80100679-d99f-4cea-96e4-a957ac6be43f;New Hires by Region (clusteredBarChart) - Region: Northwest selected;NewHiresByRegion.Regioncategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical;0,0,0,0,0,0,0;0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,0,0,0;86,1226;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,1,0,0,0,0,0,0,0,0,0;0,0,0,1,0,0,0
1654418112724;80100679-d99f-4cea-96e4-a957ac6be43f;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Nov selected;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical;0,0,0,0,0,0,0;0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1;0,0,0,0;86,1226;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,1,0,0,0
1654418113846;80100679-d99f-4cea-96e4-a957ac6be43f;New Hires by Month (Full-Time/Part-Time) (lineChart) - Month: Nov, FPDesc: Part-Time selected;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, Year.Yearcategorical;;0,0,0,0,0,0,0;0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0;0,0,1,0;51,349,65,523,71,911,103,983,112,1146,89,1115,88,1233,92,1371,82,1194,139,1747,86,1226,56,550;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,1,0,0,0
1654418116022;80100679-d99f-4cea-96e4-a957ac6be43f;New Hires and New Hires Same Period Last Year (clusteredColumnChart) - Month: Aug selected;NewHiresAndNewHiresSamePeriodLastYear.Monthcategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical;0,0,0,0,0,0,0;0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1;0,0,0,0;92,1371;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,1,0,0,0
1654418117805;80100679-d99f-4cea-96e4-a957ac6be43f;New Hires by Region (clusteredBarChart) - Region: Central selected;NewHiresByRegion.Regioncategorical, Year.Yearcategorical;;0,0,0,0,0,0,0;0,0,0,0,0,0,0;400,588,982,1086,1258,1204,1321,1463,1276,1886,1312,606;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;225,268,445,420,531,565,477,908,997,1038,1115,418;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;3,47,9,77,9,138,8,164,21,226,11,182,7,162,7,225,5,231,15,345,11,194,6,62;9571,2416,663,430,220,63,19;0,0,0,0,0,0,0,0,0,0,0,0,0,0;2168,1851,2684,1224,2165,2025,1265;0,0,0,0,0,0,0,0,1,0,0,0,0,0;0,0,0,1,0,0,0
1654418123114;80100679-d99f-4cea-96e4-a957ac6be43f;Ethnicity (slicer) - Ethnicity: Group C selected;Ethnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,1,0,0,0,0;0,0,0,0,0,0,0;2,5,6,6,1,3,4,4,7,6,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,1,1,2,1,1,3,4,5,6;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;0;45;0,1,0,1,0,0,0,1,0,1,0,1,0,1;45;0,1,0,1,0,0,0,1,1,1,0,1,0,1;0,0,0,1,0,0,0
1654418123420;80100679-d99f-4cea-96e4-a957ac6be43f;Region (slicer) - Region: Northwest selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByRegion.Regioncategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByMonth(Full-Time/Part-Time).FPDesccategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,1,0,0,0,0;0,0,1,0,0,0,0;2,5,6,6,1,3,4,4,7,6,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,1,1,2,1,1,3,4,5,6;0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1;0,1,0,1;0;45;0,1,0,1,0,0,0,1,0,1,0,1,0,1;45;0,1,0,1,0,0,0,1,1,1,0,1,0,1;0,0,0,1,0,0,0
1654418124304;80100679-d99f-4cea-96e4-a957ac6be43f;New Hires by Region (clusteredBarChart) - Region: Northwest, Region: Northwest selected;Ethnicity.Ethnicitycategorical, Region.Regioncategorical, NewHiresByRegion.Regioncategorical, Year.Yearcategorical;NewHiresByMonth(Full-Time/Part-Time).Monthcategorical, NewHiresByEthnicity.Ethnicitycategorical, NewHiresByRegion.Regioncategorical;0,0,1,0,0,0,0;0,0,1,0,0,0,0;2,5,6,6,1,3,4,4,7,6,1;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;1,1,1,2,1,1,3,4,5,6;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0;2,2,3,2,4,6,1,1,2,4,4,3,4,6,1;45;0,1,0,1,0,0,0,1,0,1,0,1,0,1;45;0,1,0,1,1,0,0,1,0,1,0,1,0,1;0,0,0,1,0,0,0
